subject,accuracy,n_windows
10,0.8707482993197279,294
9,0.8888888888888888,288
12,0.9625,320
4,0.9716088328075709,317
18,0.9752747252747253,364
20,0.980225988700565,354
2,0.9867549668874173,302
13,0.9938837920489296,327
24,0.9973753280839895,381
