model,random_cv,random_cv_std,subject_cv,subject_cv_std,leakage_gap,test_accuracy,test_macro_f1
LogisticRegression,0.983406817519666,0.002930469127775523,0.9394600793408353,0.04032924185898604,0.04394673817883066,0.9613165931455717,0.9612434705290855
SVM (RBF),0.9707574559395479,0.004227653950420276,0.9343414919760809,0.04246714142451974,0.036415963963467024,0.9504580929759077,0.9499067200798832
HistGradientBoosting,0.9933354606288471,0.0025574012392405084,0.9329745712565284,0.03734940431861542,0.06036088937231876,0.9314557176789956,0.930862770338091
RandomForest,0.9820460883197603,0.002670222265823969,0.9173186918085839,0.043941221757934704,0.06472739651117632,0.9287410926365796,0.9270658436580382
KNN (k=9),0.9628671318969465,0.006301754844376311,0.8888806898290434,0.03321016710626507,0.07398644206790306,0.9053274516457415,0.9024124975378371
